mass,ctau,acc_allbins,trigsf_unc,oneminuseff
1.5,65.0,0.009162566973100233,0.314,0.19804058782365286
1.5,70.0,0.008522957783764029,0.314,0.19804058782365286
1.5,75.0,0.007966807530268676,0.314,0.19804058782365286
1.5,80.0,0.007478799089239163,0.314,0.19804058782365286
1.5,85.0,0.007047118190509251,0.314,0.19804058782365286
1.5,90.0,0.0066625492352775425,0.314,0.19804058782365286
1.5,95.0,0.006317782270502559,0.314,0.19804058782365286
1.5,100.0,0.006006938629642914,0.314,0.19804058782365286
2.0,0.1,0.14357889089470507,0.085,0.24264662366100487
2.0,0.2,0.20533636022257787,0.085,0.24264662366100487
2.0,0.4,0.24156842285179303,0.085,0.24264662366100487
2.0,0.6,0.24686979729309008,0.085,0.24264662366100487
2.0,0.8,0.24337585479955326,0.085,0.24264662366100487
2.0,1.0,0.23658940161552786,0.085,0.24264662366100487
2.0,2.0,0.19577933863291333,0.314,0.20188500856822078
2.0,4.0,0.13761823047210392,0.314,0.20188500856822078
2.0,6.0,0.1049163964282832,0.314,0.20188500856822078
2.0,8.0,0.0845650386270229,0.314,0.20188500856822078
2.0,10.0,0.07076688309362383,0.314,0.20188500856822078
2.0,15.0,0.051203473895973656,0.127,0.21624822359071527
2.0,20.0,0.039642633354066835,0.127,0.21624822359071527
2.0,25.0,0.03233687624231009,0.127,0.21624822359071527
2.0,30.0,0.027303505254717354,0.127,0.21624822359071527
2.0,35.0,0.023625424389266455,0.127,0.21624822359071527
2.0,40.0,0.020820398034384003,0.127,0.21624822359071527
2.0,45.0,0.018610609126913286,0.127,0.21624822359071527
2.0,50.0,0.016824813491164593,0.127,0.21624822359071527
2.0,55.0,0.01535165941428012,0.127,0.21624822359071527
2.0,60.0,0.01411569666869553,0.127,0.21624822359071527
2.0,65.0,0.013063889096109267,0.127,0.21624822359071527
2.0,70.0,0.01215794984065374,0.127,0.21624822359071527
2.0,75.0,0.011369497439237873,0.127,0.21624822359071527
2.0,80.0,0.010677078472461712,0.127,0.21624822359071527
2.0,85.0,0.010064142199629362,0.127,0.21624822359071527
2.0,90.0,0.009517767908754183,0.127,0.21624822359071527
2.0,95.0,0.009027651244934405,0.127,0.21624822359071527
2.0,100.0,0.008585542424789422,0.127,0.21624822359071527
2.5,0.1,0.14629989792395565,0.085,0.2510060832943378
2.5,0.2,0.20932541638979268,0.085,0.2510060832943378
2.5,0.4,0.24757904809627027,0.085,0.2510060832943378
2.5,0.6,0.2551940849942241,0.085,0.2510060832943378
2.5,0.8,0.2540559987612649,0.085,0.2510060832943378
2.5,1.0,0.2494379754078196,0.085,0.2510060832943378
2.5,2.0,0.2126406262760835,0.314,0.20791494388659182
2.5,4.0,0.15581390283641414,0.314,0.20791494388659182
2.5,6.0,0.12130554884175324,0.314,0.20791494388659182
2.5,8.0,0.09899882900157761,0.314,0.20791494388659182
2.5,10.0,0.08352906604906547,0.314,0.20791494388659182
2.5,15.0,0.05523448289825344,0.314,0.22613065326633164
2.5,20.0,0.043052510897231645,0.314,0.22613065326633164
2.5,25.0,0.03526373837579955,0.314,0.22613065326633164
2.5,30.0,0.029857999226472913,0.314,0.22613065326633164
