mass,ctau,acc_allbins,trigsf_unc,oneminuseff
2.0,30.0,0.0028304636336397926,0.314,0.29380530973451324
2.0,35.0,0.0024982802650259307,0.314,0.29380530973451324
2.0,40.0,0.002235316668505682,0.314,0.29380530973451324
2.0,45.0,0.0020221291884735945,0.314,0.29380530973451324
2.0,50.0,0.0018458829430279182,0.314,0.29380530973451324
2.0,55.0,0.0016977831965158492,0.314,0.29380530973451324
2.0,60.0,0.0015716099879254939,0.314,0.29380530973451324
2.0,65.0,0.001462843891297393,0.314,0.29380530973451324
2.0,70.0,0.0013681242056252214,0.314,0.29380530973451324
2.0,75.0,0.0012849009002126788,0.314,0.29380530973451324
2.0,80.0,0.0012112045607925264,0.314,0.29380530973451324
2.0,85.0,0.001145490669468011,0.314,0.29380530973451324
2.0,90.0,0.0010865307594826175,0.314,0.29380530973451324
2.0,95.0,0.001033335888960407,0.314,0.29380530973451324
2.0,100.0,0.0009851008537980067,0.314,0.29380530973451324
2.5,0.1,0.0015812559298247417,0.199,0.5099596724917512
2.5,0.2,0.003990210336730739,0.199,0.5099596724917512
2.5,0.4,0.007322898148527258,0.199,0.5099596724917512
2.5,0.6,0.009175018561759639,0.199,0.5099596724917512
2.5,0.8,0.010240312075494319,0.199,0.5099596724917512
2.5,1.0,0.010882820251390266,0.199,0.5099596724917512
2.5,2.0,0.010525148801362757,0.314,0.31163859111791725
2.5,4.0,0.009611323402991164,0.314,0.31163859111791725
2.5,6.0,0.008588755211498775,0.314,0.31163859111791725
2.5,8.0,0.0077187463356681784,0.314,0.31163859111791725
2.5,10.0,0.006992246482892558,0.314,0.31163859111791725
2.5,15.0,0.005686294660675266,0.314,0.30147058823529416
2.5,20.0,0.004780276753220324,0.314,0.30147058823529416
2.5,25.0,0.004116025366115534,0.314,0.30147058823529416
2.5,30.0,0.0036106309946707348,0.314,0.30147058823529416
2.5,35.0,0.0032141765716325755,0.314,0.30147058823529416
2.5,40.0,0.0028953079670733252,0.314,0.30147058823529416
2.5,45.0,0.00263349862623702,0.314,0.30147058823529416
2.5,50.0,0.0024148074008903046,0.314,0.30147058823529416
2.5,55.0,0.0022294587935066165,0.314,0.30147058823529416
2.5,60.0,0.0020704067751681236,0.314,0.30147058823529416
2.5,65.0,0.0019324501184780135,0.314,0.30147058823529416
2.5,70.0,0.001811668472336546,0.314,0.30147058823529416
2.5,75.0,0.0017050528541975286,0.314,0.30147058823529416
2.5,80.0,0.0016102560840975271,0.314,0.30147058823529416
2.5,85.0,0.0015254209948346864,0.314,0.30147058823529416
2.5,90.0,0.001449059256450406,0.314,0.30147058823529416
2.5,95.0,0.0013799642375376165,0.314,0.30147058823529416
2.5,100.0,0.001317147635125025,0.314,0.30147058823529416
3.0,0.1,0.0017213382697126133,0.034,0.502180476350218
3.0,0.2,0.004247662005874919,0.034,0.502180476350218
3.0,0.4,0.00792201715489304,0.034,0.502180476350218
3.0,0.6,0.0100891152815947,0.034,0.502180476350218
3.0,0.8,0.011400430023600945,0.034,0.502180476350218
3.0,1.0,0.012217186838457534,0.034,0.502180476350218
3.0,2.0,0.011298796082580047,0.127,0.3056133056133056
3.0,4.0,0.010615151509166414,0.127,0.3056133056133056
3.0,6.0,0.009763655692709988,0.127,0.3056133056133056
3.0,8.0,0.008973834330367032,0.127,0.3056133056133056
3.0,10.0,0.008267429356947239,0.127,0.3056133056133056
3.0,15.0,0.007060100266741943,0.314,0.26752336448598135
3.0,20.0,0.005962896326881974,0.314,0.26752336448598135
3.0,25.0,0.005152598493153254,0.314,0.26752336448598135
3.0,30.0,0.004532340243833572,0.314,0.26752336448598135
3.0,35.0,0.0040434060493252395,0.314,0.26752336448598135
3.0,40.0,0.003648606829558642,0.314,0.26752336448598135
3.0,45.0,0.003323411269966329,0.314,0.26752336448598135
3.0,50.0,0.0030510486624938313,0.314,0.26752336448598135
3.0,55.0,0.002819694366825529,0.314,0.26752336448598135
3.0,60.0,0.0026207853287033007,0.314,0.26752336448598135
3.0,65.0,0.0024479749184172363,0.314,0.26752336448598135
3.0,70.0,0.002296463040605718,0.314,0.26752336448598135
3.0,75.0,0.0021625543607796203,0.314,0.26752336448598135
3.0,80.0,0.002043358788901104,0.314,0.26752336448598135
3.0,85.0,0.001936584087543658,0.314,0.26752336448598135
3.0,90.0,0.0018403895627766816,0.314,0.26752336448598135
3.0,95.0,0.0017532802552298928,0.314,0.26752336448598135
3.0,100.0,0.0016740295799327373,0.314,0.26752336448598135
3.5,0.1,0.001626583824672183,0.027,0.4902182091798345
3.5,0.2,0.004468675026222071,0.027,0.4902182091798345
3.5,0.4,0.009048104606363863,0.027,0.4902182091798345
3.5,0.6,0.011917621679001062,0.027,0.4902182091798345
3.5,0.8,0.013705893267410023,0.027,0.4902182091798345
3.5,1.0,0.01487636678499547,0.027,0.4902182091798345
3.5,2.0,0.012469389515618936,0.127,0.28277256848685417
3.5,4.0,0.01223252420441912,0.127,0.28277256848685417
3.5,6.0,0.011523191111823847,0.127,0.28277256848685417
3.5,8.0,0.010788868216232726,0.127,0.28277256848685417
3.5,10.0,0.010095756506931852,0.127,0.28277256848685417
3.5,15.0,0.00817034241671435,0.127,0.2572992700729927
3.5,20.0,0.007017806929576519,0.127,0.2572992700729927
3.5,25.0,0.006135027448197588,0.127,0.2572992700729927
3.5,30.0,0.005442711208987853,0.127,0.2572992700729927
3.5,35.0,0.004887375463834248,0.127,0.2572992700729927
3.5,40.0,0.004432996900799661,0.127,0.2572992700729927
3.5,45.0,0.004054822375262278,0.127,0.2572992700729927
3.5,50.0,0.003735423869576396,0.127,0.2572992700729927
3.5,55.0,0.003462234715878388,0.127,0.2572992700729927
3.5,60.0,0.0032259917720977973,0.127,0.2572992700729927
3.5,65.0,0.0030197299678191005,0.127,0.2572992700729927
3.5,70.0,0.0028381182944044645,0.127,0.2572992700729927
3.5,75.0,0.002677010639420421,0.127,0.2572992700729927
3.5,80.0,0.0025331365401896518,0.127,0.2572992700729927
3.5,85.0,0.0024038823768067798,0.127,0.2572992700729927
3.5,90.0,0.0022871356762060673,0.127,0.2572992700729927
3.5,95.0,0.00218117055890535,0.127,0.2572992700729927
3.5,100.0,0.0020845637708366105,0.127,0.2572992700729927
4.0,0.1,0.00209870405096757,0.027,0.4380112778969105
4.0,0.2,0.005675884526741376,0.027,0.4380112778969105
4.0,0.4,0.011555213057294697,0.027,0.4380112778969105
4.0,0.6,0.015317061212965173,0.027,0.4380112778969105
4.0,0.8,0.01773685213992263,0.027,0.4380112778969105
4.0,1.0,0.01933241153396048,0.027,0.4380112778969105
4.0,2.0,0.016419866315172522,0.314,0.25725513905683195
4.0,4.0,0.01579856813905845,0.314,0.25725513905683195
4.0,6.0,0.014787983401970087,0.314,0.25725513905683195
4.0,8.0,0.0138165690458736,0.314,0.25725513905683195
4.0,10.0,0.012921013235169114,0.314,0.25725513905683195
4.0,15.0,0.012137974480583529,0.314,0.23135271807838176
4.0,20.0,0.010512835164269013,0.314,0.23135271807838176
4.0,25.0,0.009252709450941296,0.314,0.23135271807838176
4.0,30.0,0.008252738293723543,0.314,0.23135271807838176
4.0,35.0,0.007442617898554109,0.314,0.23135271807838176
4.0,40.0,0.006774334736688099,0.314,0.23135271807838176
4.0,45.0,0.006214363438797252,0.314,0.23135271807838176
4.0,50.0,0.005738754051290478,0.314,0.23135271807838176
4.0,55.0,0.005330018121859948,0.314,0.23135271807838176
4.0,60.0,0.004975125759547765,0.314,0.23135271807838176
4.0,65.0,0.004664188647820349,0.314,0.23135271807838176
4.0,70.0,0.004389578752673719,0.314,0.23135271807838176
4.0,75.0,0.00414532281748434,0.314,0.23135271807838176
4.0,80.0,0.003926680488270443,0.314,0.23135271807838176
4.0,85.0,0.003729843678561323,0.314,0.23135271807838176
4.0,90.0,0.0035517199535138066,0.314,0.23135271807838176
4.0,95.0,0.0033897725465845963,0.314,0.23135271807838176
4.0,100.0,0.003241901450298732,0.314,0.23135271807838176
4.5,0.1,0.0025805155784101447,0.027,0.3517583408476105
4.5,0.2,0.00711872869182534,0.027,0.3517583408476105
4.5,0.4,0.01519919496054655,0.027,0.3517583408476105
